time,hs_activations,rapl_delta
79.914692506,819053,1140072
80.042488334,824320,1157651
80.170283718,830639,1148984
80.298079787,825373,1140439
80.42587453,829762,1158383
80.553669896,826104,1140500
80.681466544,829152,1149167
80.809260261,832809,1149595
80.937055276,829762,1149960
81.064851657,832301,1149472
81.192646189,830185,1140805
81.32044259,827645,1149656
81.448237624,824597,1140378
81.576034205,827137,1158322
81.70383007,825021,1140195
81.831626434,826785,1149106
81.95942153,825315,1149350
82.087215504,826540,1139889
82.215010695,828009,1158384
82.342806395,829773,1140194
82.470601811,831890,1149167
82.59839683,830126,1149717
82.72619184,828009,1149777
82.853988878,825470,1140317
82.98178269,822422,1149228
83.10957884,818765,1139951
83.237375174,821812,1148556
83.365168393,825470,1158200
83.492964661,822422,1140012
83.620759426,824962,1148740
83.748554534,822845,1140134
83.876350625,820305,1148678
84.004145166,822422,1148374
84.131941235,824962,1148984
84.259736237,828009,1148923
84.387532334,831667,1149228
84.515327977,828619,1149472
84.643122827,824962,1140256
84.770919085,828009,1148861
84.898715198,825470,1149412
85.02650938,827586,1149411
85.154304122,825822,1139889
85.282099728,827292,1158323
85.409894672,826067,1140194
85.537690153,827088,1149106
85.665486237,828313,1149228
85.793280384,827292,1149717
85.921078116,826067,1140011
86.048871309,824597,1149350
86.176666522,825822,1149106
86.304462536,827292,1149106
86.432257374,829056,1149411
86.560052768,827586,1149656
86.687848837,828811,1140011
86.815643175,827790,1149351
86.943437859,826565,1149716
87.071235252,825096,1149533
87.199031064,823332,1140073
87.326826761,824802,1148740
87.45462218,826565,1149167
87.582415334,825096,1149594
87.710211232,823332,1140439
87.838006007,824802,1148862
87.965802466,823577,1149228
88.093598835,822107,1148922
88.221392358,823332,1139829
88.349189275,824802,1148618
88.476984094,826565,1158566
88.6047782,828682,1140317
88.732575562,831222,1149289
88.86036957,834269,1158994
88.988164538,837927,1149960
89.115960328,834879,1141171
89.243755445,831222,1150022
89.371552312,834269,1149716
89.49934675,837927,1149900
89.627142451,842315,1150326
89.75494012,838658,1150449
89.882734475,834269,1141232
90.01052768,837927,1118711
90.138326425,834879,995420
90.266119302,831222,973996
90.393914055,826833,981565
90.521711084,821566,973142
90.649505796,815247,972532
90.777299509,807663,972043
90.905095623,798563,963316
91.032892098,787642,969968
91.160686131,774537,961301
91.288482324,758812,959714
91.416278561,739941,950254
91.544073522,717296,948118
91.671868647,690123,945554
91.757063278,657514,634825
91.842260845,618384,623595
91.927459476,571428,619444
92.012655131,515080,598815
92.097853472,447463,584593
92.183048818,366323,561949
92.268245097,433940,702086
92.353443386,377592,583983
92.438641119,424548,679807
92.523836289,480896,692503
92.609033702,433940,596923
92.694231735,377592,591917
92.7794286,424548,679686
92.864625042,480896,692808
92.949822279,433940,596861
93.035017632,377592,583983
93.120214496,424548,687743
93.205412723,480896,692747
93.290608145,433940,597044
93.375805911,377592,583800
93.461003611,424548,679808
93.546200566,480896,692686
93.63139741,433940,604674
93.716593361,377592,584105
93.801790936,424548,679747
93.886988029,480896,692625
93.972184885,433940,604735
94.057381541,473070,677854
94.14257731,440461,611571
94.227775596,401331,600340
94.312972587,433940,666503
94.398169483,406766,615293
94.483365897,429411,659422
94.56856245,456584,669676
94.653760697,433940,617675
94.738958751,406766,615049
94.824154458,429411,659484
94.909350333,456584,669554
94.994545877,433940,617857
95.079743074,406766,615233
95.164940108,429411,659666
95.250138838,456584,661802
95.335336138,433940,625426
95.420531836,406766,615416
95.505728414,429411,659544
95.590925184,456584,661681
95.67612291,433940,617796
95.761319114,406766,615477
95.846516916,429411,659117
95.931712765,410540,622801
96.016909062,426266,651915
96.102108188,445136,661619
96.187305306,429411,624388
96.27250196,442515,653929
96.35769895,431595,631896
96.442894374,418490,623045
96.528093197,429411,652769
96.613288248,442515,653929
96.698485423,431595,631895
96.783682527,418490,622863
96.868877985,429411,652891
96.954076623,420310,630370
97.039273256,427894,645262
97.124469301,436994,646177
97.209666254,429411,641661
97.294864037,435730,638304
97.380060701,430464,638853
97.465257546,424144,630614
97.55045532,429411,645689
97.635651162,435730,646178
97.720847069,430464,639036
97.806045354,434853,638304
97.891243224,440119,646788
97.976438412,435730,639525
98.061636092,430464,638975
98.146834089,434853,638365
98.232030539,431195,638732
98.317227493,434243,646360
98.40242487,437900,638854
98.487619456,434853,639280
98.57281803,437392,638793
98.658013903,440440,647093
98.743210543,437900,639280
98.828406952,434853,639220
98.913603808,437392,638914
98.998801115,435276,639220
99.083998397,437040,646666
99.169195029,439156,639341
99.254392063,437392,639098
99.339591441,435276,639158
99.424785424,437040,646788
99.509982188,435570,631346
99.595179831,436795,646727
99.680376179,438265,639098
99.765574202,437040,639097
99.850770259,435570,639159
99.93596856,436795,646848
100.02116416,435774,640807
100.106363714,436625,735533
100.191560772,437645,752256
100.276756098,438870,761595
100.361954106,440340,752378
100.447150079,442104,752745
100.532346493,444220,761900
100.617542603,446760,753111
100.702739794,449808,762510
100.787937824,453465,753294
100.873133016,457854,763059
100.958331153,463120,763365
101.04352793,469440,764036
101.12872501,477023,764647
101.213921559,486124,765196
101.299117891,497044,775144
101.384314043,510149,767332
101.46951268,525875,777403
101.554710376,544745,788450
101.639906042,567390,790342
101.725101996,594564,792051
101.810298629,627172,803953
101.895495487,666303,816161
101.980692453,713259,829038
102.065889017,769606,843015
102.193684299,837223,1208432
102.321479119,780876,1086057
102.449275694,827832,1199826
102.577070527,788702,1104001
102.704866976,821310,1182309
102.832661596,794137,1112058
102.960456185,816781,1173703
103.088252474,843955,1176144
103.216047424,821310,1123533
103.343843015,794137,1112057
103.471638516,816781,1173703
103.599433892,843955,1175962
103.727228719,821310,1123715
103.855024192,794137,1112180
103.982821056,816781,1173764
104.110614465,843955,1175778
104.238410599,821310,1123471
104.366206953,840181,1167234
104.494000391,824456,1132565
104.621796924,805585,1130735
104.749591585,821310,1156430
104.877388079,808206,1139584
105.005182156,819126,1156736
105.132977258,832231,1157650
105.260773234,821310,1140928
105.388568565,830411,1148617
105.516363989,822827,1140561
105.644160229,813727,1139890
105.771955969,821310,1148007
105.89975035,830411,1166990
106.027546422,822827,1131650
106.155340219,813727,1139401
106.2831366,821310,1157285
106.41093128,814991,1139462
106.538726371,820257,1147946
106.666522654,826577,1157346
106.794317488,821310,1140195
